,Tweet_text,emotion
0,#women &men inherently different. shouldn't 2 forfeit femininity 4 respect. #equalpay impact right 2 #slay,anger
1,aauw stands issues like #equalpay #titleix & impact women's daily lives. learn,anger
2,aauw\xe2\x80\x99s top policy advisor lisamaatz breaks data gender pay gap el paso women\xe2\x80\x99s collective,disgust
3,2017 gender race still impact pay. injustice must left,joy
4,impact wage gap lives women children tremendous ~professor dana britton. #equalpay #nj,disgust
5,"january
 moller also points huge impact equal pay would poverty #laequalpay",sadness
6,iceland become first country mandate equal pay,sadness
7,stop taking us granted! notice,disgust
8,opinion piece: here's cut penalty rates impact women more:,sadness
9,demand equal pay women. let's make positive impact change now. #aapiequalpay #notyourmodelminority,disgust
10,new #trump laborsec impact & care. amprog #minimumwage #equalpay,sadness
11,yes equal pay. gender pay gap. different,sadness
12,here's need know new #equalpay laws,disgust
13,,joy
14,msps begin inquiry impact equal pay,joy
15,tricianelsoney live #bbcgms c.7.30am discussing #genderpaygap sp_economy launches inquiry impact equal pay,joy
16,clear indication #equalpay certainly impact #uswnt heading,disgust
17,sources indicate carli lloyd indeed join,disgust
18,el paso women's collective impact forum walks road map pay equity texas #eptx prepared aauw #equalpay,sadness
19,derby t.a.'s fight 25%pay cut part d.c.c. equal pay review. \nhaving huge impact parents/children/& t.a.s. & families,joy
20,"teresaheeney nccaie absolute impact hey
 educators - let's hope equal pay scale enshrined",sadness
21,ukankallmesmut meditated,fear
22,2017 race gender still impact salary. excuse. must change must overcome! #equalpay,disgust
23,study shows closing gender pay gap could huge impact national,disgust
24,fact: gender equality buzz word. definitive impact bottom line #equalpay,anger
25,great interview b_momani & sumayaattia #genderequality arab economy: cc:,joy
26,compelling data positive impact equal pay economic opportunities women. learn the...,disgust
27,5 ways women advanced equal pay negotiation 2016 via,sadness
28,tom_gatti newstatesman always socially economically,disgust
29,equal pay equal pay : sc judgment,sadness
30,,fear
31,impact #theglassceiling #equalpay #unequalpay,joy
32,australia: insightful look relationship #equalpay women's health: via,guilt
33,current political dynamics impact upcoming n.j. equal pay override vote?,sadness
34,#equalpay control simple. many elements,sadness
35,can't relate women feel president doesn't support equal pay amendment doesn't impact,sadness
36,"vj44 refinery
 might rise gig economy impact women workers fight",joy
