,Unnamed: 0,Tweet_text,emotion
0,0,"trump: ""women get equal",sadness
1,1,,disgust
2,2,8) #trump's,sadness
3,3,it's always liberal conservative thing. equal pay women human,disgust
4,4,conservative female mps voted equal pay women proposed ndp & shit,sadness
5,5,sophie gr\xc3\xa9goire trudeau defends post urging women thank men international women's day,guilt
6,6,rebeccaoakley16 annoy conservative: tell 15th amendment blacks still couldn't vote afterwards. equal,sadness
7,7,it's crazy conservative fem peers quick shit women saying deserve equal pay equal work. ya'll,sadness
8,8,dailycaller don't support equal pay crap support this. lol,sadness
9,9,josephpatrick53 themarkromano mainly employment,sadness
10,10,foxnews marjorieclifton according conservative,joy
11,11,markyoungtruth bet conservative women worked yesterday earn equal pay.,sadness
12,12,"equal pay equal work considered ""extreme left"" position i\'m proud feminist extremist.",sadness
13,13,#internationalwomensday conservative women voted equal pay women. sad. disgraceful.,guilt
14,14,conservative elected bitches voted equal pay proposed ndp. macleansmag go fuck,sadness
15,15,sophie gr\xc3\xa9goire trudeau's international women's day post roundly,sadness
16,16,hope gentlt trips conservative women voted,guilt
17,17,greetings justin trudeau dinnerpartyiwd #beboldforchange,guilt
18,18,muskokamoneybag mrempelcpc conservative women cunts: destroyed women's rights canada. voted equal,sadness
19,19,sad women won't support women. conservative women equal pay? rt (cont),sadness
20,20,"foxnews melissaafrancis dem
",sadness
21,21,"isn't equal pay women workplace? professional
 abortion militant feminist day. seems conservative women aren't
",sadness
22,22,"kayleighmcenany miss point. glad your
 upset. liberal vs conservative. equal",sadness
23,23,curtisscoon conservative how? hetero men believe,joy
24,24,"post-brexit conservative super-educated woman trnd stay-at-home mom advocating equal pay?welcome dark ages thanks
",sadness
25,25,wasn't quite sure respond told tackling gender pay gap marxist idea,joy
26,26,bbc keeps bringing 'the conservative woman' blogger argue equal pay women. can't even understand point,sadness
27,27,"hurtfeelingsinc cnn don
 really problem conservative view social policies like supporting era equal",sadness
28,28,theconwom jpjanson \nthis woman would fighting suffragettes equal pay act.\nconservative,sadness
29,29,,joy
30,30,"wow! dense mfers kids? sleeping with
 idiots? equal pay apparently super threating conservative men",sadness
31,31,utah gop chair's letter editor published today (not year 1624),joy
32,32,"equal pay equal work liberal propaganda? thought kind ""common sense"". isn\'t conservative sound",sadness
33,33,audi alexa_mcgriff audi using liberal propaganda commercial? time longer purchase,sadness
34,34,conservative outcry local control pa assembly rolls back philly's equal pay sick leave,sadness
35,35,oh,anger
36,36,woman liberal cause? think conservative pro-woman agenda looks like? via nytopinion,guilt
37,37,conservative_vw women want equal pay fully taxpayer funded childcare maternity leave top!,sadness
38,38,gop senator pushing bill equal pay women,sadness
39,39,problem foxnews conservative thinking. pushing 4 equal pay women isn't dig potus it's hope,sadness
40,40,nothing conservative liberal equal pay women. called common sense. #theresistance,sadness
41,41,think progress editor mocks audi equal pay super bowl,sadness
42,42,anncoulter: rt tomilahren: hey audi\n\nthe equal pay act passed 1963\n\nmen women get equal pay equal work\n\nstop trying,sadness
43,43,,sadness
44,44,*wakes conservative friends saying women stop complaining equal pay men harder jobs*\n\n....good,sadness
45,45,kristinajaniga dickey1331 shanaboo1011 foxnews equal,sadness
46,46,conservative_vw hate looks like. women standing right,guilt
47,47,moetmac1020 realtonaldtrump mmflint equal pay. trump wants grab woman pussy pence conservative,sadness
48,48,realjameswoods march hollywood equal pay/jobs conservative,sadness
49,49,barrywirth conservative_vw od_ande also sexually,sadness
50,50,conservative ut county senator pushing equal pay bill? made,sadness
51,51,markhalperin joenbc honestly,sadness
52,52,unhinged ashley judd women's march rants,sadness
53,53,one conservative states could soon offer #equalpay,guilt
54,54,would conservative women opposed,sadness
55,55,women's march protestors call economic equality,guilt
56,56,#womensmarch i'm proud,fear
57,57,cannot honestly tell i'm fiscal conservative don't believe deserve equal pay...but warren,sadness
58,58,toetalsole lulujaybird andieiamwhoiam trust,joy
59,59,support growing conservative us state #missouri #equalpay,joy
60,60,one conservative states could soon offer equal pay,sadness
61,61,"conservative men #gop women never good! #trump admin-but don
 believe #equalpay & women's claims",sadness
62,62,one conservative states could soon offer equal pay,sadness
63,63,nicolefroio it\'s old people,disgust
64,64,one conservative states could soon offer equal pay,sadness
65,65,one conservative states could soon offer equal pay,sadness
66,66,waiting everyone hate ivankatrump horrible conservative,guilt
67,67,conservative views like? social,guilt
68,68,byjoelanderson two aren't same. making room conservative views good-- room racist views,sadness
69,69,new research finds conservative managers tend give smaller bonuses,sadness
70,70,nuttall along six conservative party mps voted equal pay,joy
71,71,new research finds conservative managers tend give smaller bonuses,sadness
72,72,josephzapataiii demygodless guess conservative women know place 3 paces back husbands includes equal,sadness
73,73,imitationjordan don\xe2\x80\x99t persuade religious conservative gay people okay giving equal,sadness
74,74,"crazy none
 can't pick better people positions. all2 conservative aren't
 women's rights equal pay taz middle class facts",sadness
75,75,conservative_vw billlonbeck ha lol much liberals' argument equal,sadness
76,76,liberal:,sadness
77,77,#news #release: conservative equal pay proposals ignore need comprehensive solutions end pay discrimination close wage gap,joy
78,78,"give women access justice equal pay - conservative employment tribunal fees barrier labor
",sadness
79,79,conservative place friends top positions canada. equal opportunity. killed equal pay women.,sadness
80,80,"need leader knows canada looks like bottom. work create opportunity every striver, every",guilt
81,81,become socially conservative. respect woman's right,sadness
82,82,rabois karaswisher conservative views think,sadness
83,83,bribrans,fear
84,84,new supreme court going define conservative. rip social progress movements. rip abortion equal,sadness
85,85,we're getting conservative supreme,sadness
86,86,lauradenton1955 like bizarre marxist phrases like equal pay equal work factory,sadness
87,87,conservative_vw women hillary voters! ask says equal pay women pays men women,sadness
88,88,conservative media pushing false claims equal pay - shareblue gop doesn't want hike minimum wage either,sadness
89,89,conservative media pushing false claims equal pay,sadness
90,90,retweeted conservative review cr):\n\nhypocrite hillary supports equal pay women debate,sadness
91,91,latest shareblue: conservative media pushing false claims equal pay,sadness
92,92,conservative media pushing false claims #equalpay \xe2\x80\xa6 cc: maggie_hassan,sadness
93,93,sol_invictus_ae rickcanton american enterprise,sadness
94,94,"hester216p tomibaird peddoc63 gop congress stuck ""conservative values"" hold back",sadness
95,95,"casual conversation
 (v conservative) dad capitalism equal pay. we're different",sadness
96,96,godtexascountry conservative women never agree abortion many things do. equal pay,sadness
97,97,im conservative also believes gun control & equal,sadness
98,98,"trump conservative? pt. 3\n- education = defraud ppl\n- business
 plan = $1b red/ 1yr\n- equal pay = maybe your
 hot\n- maternity love
 =",sadness
99,99,divine conservative celebrates international day girls. girl - seek equal pay & access elected office & appointments.,guilt
100,100,qwestie trump isn't liberal. opposes tax,joy
101,101,,anger
102,102,equal pay act already thing!! - every conservative,sadness
