,Tweet_text
0,stem gender advancement (saga) #unesco initiative \n2 reduce gender gap stem fields levels
1,fighting #stem gender gap stories trailblazing female scientists pri carinbondar aauw girlstart \n
2,"let's redefine women's opportunities #iwd2017. #stem education, key closing gender gap. read report:\xe2\x80\xa6"
3,breaking stereotypes learning help fight gender gap stem topics: via
4,silicon valley\xe2\x80\x99s gender gap result computer-game marketing 20 years ago #gendergap #womenintech #stem
5,let's close gender gap #stem encourage girls (and women)
6,jayhawks breaking barriers project aims confront gender gap stem leadership roles:
7,"empower_women i'm 4th year
 chemeng student stellenbosch uni. assignment gender gap stem. i'd love"
8,taking lead: female first authors key closing #stem gender
9,new research looks causes #stem gender gap.
10,#mountholyoke #girlsintech conference targets #stem gender gap \xe2\x80\xa6
11,"really enjoyed talk rhetonic #cambmarketing last night - v useful us, trying bridge gender gap stem"
12,aerospace engineer juliet muli bridging stem gender gap putting end keyboard activism \xe2\x80\x94 ....
13,#femalefounder charu1603 spoke last week mtholyoke importance #diversity tech.
14,"hong kong - hong kong group urges parents, teachers work harder close #gender gap #stem subjects"
15,congratulations
16,signed executive order close gender gap stem
17,donald trump passed two bills close gender gap women stem professions.
18,"nancypelosi guess missed hour
 321 255 closing gender gap stem areas women. that's it's really done. wear"
19,"enhancing stem(science technology,engineering & math)education opportunities & entrepreneurial programs women & girls.closing gender"
20,head microsoft germany bendiek \xe2\x80\x9cthe & stem gender gap\xe2\x80\x9c cc
21,engineering future: ge\xe2\x80\x99s goal bridge stem gender gap 2020 - ge reports
22,maxvonmacht honoranddaring gender gap silly. women hired 2:1 stem. biology related fields women outnumber
23,us 14% engineers women; ge_reports aiming bridge #stem gender gap 2020.
24,"halesdailes explain there's gender gap stem. got upset, there's research explains. read instead asking"
25,\xe2\x80\x9cscience\xe2\x80\x99s gender gap hurting
26,"important wef piece gender gap stem written academy members ivanagadjanski, scimaven &"
27,proud work generalelectric closing gender gap: 20k women technical roles 2020 #stem
28,"struck fuck ""ladies"" yesterday. \n\ntried today ""females."" \n\ncan\'t figure there\'s gender gap stem."
29,female thought engineering decided it? why? science community better? #sciencemarch
30,thread gender gap stem. check out.
31,sciencemarchdc want hear me! i'm excited. let's go. ht othersociology via dawnbazely
32,fighting #stem gender gap stories trailblazing female
33,"awful deleted tweet, sciencemarchdc asked ""ladies"" explain gender gap stem. othersociology things say."
34,"sciencemarchdc asking ""ladies"" explain gender gap introduce women engineering day. #marginsci"
35,"think big, start early: new effort close gender gap science starts"
36,"a3: rwanda peru malawi, girlup reduces gender gap increasing girls #stem yearly camps."
37,majority panellists women - again! sign gender gap stem leadership decreasing? #eef2017 stemettes
38,"anankemag circle2020 critoe sadaffeabid women stem earn 33% women non-stem, reducing wage gender"
39,ge hopes new goals narrow stem gender gap | fairygodboss
40,find girlswhocode working close gender gap stem. #aceredu
41,engineering future: ge\xe2\x80\x99s goal bridge stem gender gap 2020
42,"partnership girlswhocode, we're working close gender gap #stem. teenvogue more:"
43,ge hopes new goals narrow stem gender
44,ozarksfirst (kolr): discovery center bridging gender gap
45,closing #tech's gender gap decade would incredible! #womenintech #stem via washingtonpost
46,challenging gender gap stem means breaking glass obstacle course (h/t ryscidean) encouraging girls choose stem
47,us 14% engineers women; ge\xe2\x80\x99s aiming bridge stem gender gap
48,"interesting theory source stem gender gap: video games & game advertising, especially 1980s \xe2\x80\xa6"
49,"code: debugging gender gap\xe2\x80\x9d netflix, every techie needs watch"
50,"women make 30% #stem researchers, need close gender"
51,"progress women made stem careers, gender gap computing growing larger."
