,Tweet_text
0,"mentality ""i her, me"" - ""create highways"" women, ""train teachers first"" stem!!"
1,develop leadership sustain talent woman power conference cleveland april 9-10 #women #smallbiz #stem
2,majority panellists women - again! sign gender gap stem leadership decreasing? #eef2017 stemettes
3,reproducible effect: failing credit women scientists leadership
4,encouraging women work stem\n \xe2\x80\xa6\n#stem #leadership
5,"uvu proactive
 encouraging #stem involvement, including elementary robotics"
6,#women #stem professional expertise it's #leadership skills too'
7,"harvardbiz examines keep #womeninstem fields longer, get leadership roles."
8,place go up. get & get here:
9,state stem #singapore: drive women tech
10,"#womensday2017 reflecting inspiration, dedication, leadership"
11,#women leadership conference stem cell based
12,bravo 3m rokautomation bmo - great leadership elevating
13,celebrate women stem attending women's leadership series tonight march women's history month....
14,powering women stem. join charge leadership panel woman power conference cleveland.\n
15,iot provides opportunity women stem leadership. learn more:
16,"advice ""how careers stem close wage gap women"" #heels #leadership"
17,"week's #womeninstem podcast, speak marijabutkovic challenges"
18,"looking forward
 women work conference ucalgary week: women business, stem, law, leadership, entrepreneurship"
19,great job
20,#tbt 09/2015 \ni presented preliminary results #lymphoedema research world congress #lymphology #sanfrancisco #le
21,"cameron students learn skills ""empowering women leadership stem"" program #empowerwomen #quotes"
22,mtbarra it's amazing women leaders stem background look new gm employee! thankful
23,women stem leadership focus next #stemnight. march 3 see shape future. rsvp
24,finding women #stem leadership hard. is. unwomen
25,women stem my continue break barriers\n \xe2\x80\xa6\n#stem #leadership
26,"stem night: women stem leadership via nysci - hands-on activities, panels networking #strengthenstem"
27,great see tcs_na women recognized leadership #stem!
28,chandrika shrinivasan named 2017 women worth watching\xc2\xae #stem winner diversityjrnl #tcsempowers
29,thought leadership: top 5 ways get women girls stem -
30,still buzzing yesterday's webinar #leadership. thanks opportunity mariomoustras &
31,3 visionary leaders #stem took stage 2016 kpmg_us women's leadership summit discuss embracing innovation level.
32,"ohiou professional
 received scholarship attend hersinstitutes\xe2\x80\x99 program women stem leadership. congrats!"
33,wsucahnrs dr. wall 2017 provost's leadership academy amazing scientist. great role model women stem.
34,"provost danjbernardo honoring dr. natalie
 wall casatwsu today's featured faculty member! thank you, dr. wall!"
35,"know what's rad? red
 millennial women stem fields invest futures leadership..."
36,london bound deliver webinar: #cantwait #women #leadership #stem #yourtimetogrow
37,"bigcat_37 learning leadership positions held women, encouraging women pursue stem"
38,developing leadership & sustaining talent. woman power conference clemarriott join
39,"#himss17 keynote ginni rometti discussing challenges women stem leadership, ""don\'t let people define you."""
40,recruit & retain women stem workforce & encourage women leadership roles - new report \ welshgovernment
41,karen kazstocks). #celebratingwomen (profile 95)\n\n#womenintech #womeninstem #womeninleadership cewaus #leadership #stem #women
42,"karen kazstocks) inspires business
 2 use #tech enhance customer service + champions #gender biz/sport/media #celebratingwomen"
43,"women mean business- you
 mn carlson leadership experience\n\nyoung women interested stem fields invited to..."
44,"women working #stem needing support navigating #leadership, #management? check program
"
45,searching women #stem help prosper! learn here: yorkshirewater
46,president drbilliot serve panel empower women leadership roles #technology! #stem
47,cleveland isn't home cavs home sustaining
48,cassbusiness cass_dubai casscareers. mba targets women stem future leadership & posters fab!
49,we're powering women stem woman power conference cleveland. join us april 9-10. get access: #leadership
50,thesocialctv amazing non-profits like chicgeekyyc exceptional work women ages stem &
51,online leadership coaching mentoring women
52,8 inspirational clips leadership women amieealoi #stem
53,thought leadership: top 5 ways get women girls stem -
54,there's still time register!-->adopting change leadership mindset: advancing women stem\xe2\x80\x9d - join us tomorrow!
55,\xe2\x80\x9cadopting change leadership mindset: advancing women stem\xe2\x80\x9d - join us tomorrow! cioec
56,"bringing #bhm recognition present-day, acknowledge black women #stem leadership nih: dr. regina"
57,leadership: boston women business executives share thoughts
58,"congratulations
 3m 2017 catalyst award! thank supporting women girls #stem leadership!"
59,thursday! randstadtechus & cioec partner \xe2\x80\x9cadopting change leadership mindset: advancing women stem\xe2\x80\x9d
60,"thank ia lt. government
 kim reynolds #mwmtownhall leadership engaging girls women stem education"
61,"says can, says can't usually"
62,women feel empowered see women leadership roles #gender #gendergap #inclusion #stem
63,"generalelectric balance equation close gender gap - #women stem, leadership"
64,inspiring young minds learn stem leadership skills - powered cisco early career women leaders ciscoit
65,"dmregister blatantly ignores track record kimreynoldsia stem initiatives, business development & women's leadership. pretty shameful"
66,register editorial: iowa really need nonelected lieutenant governor?
67,"hidden figures: success stories help girls\xe2\x80\x99 stem careers via un_women impressed with
 uwaterloo 's"
68,thought leadership: top 5 ways get women girls stem
