,Tweet_text,emotion
0,equal pay day: disparity,sadness
1,"hillary\'s lie: ""i\'m leading fight equal pay women."" hillary speak: ""gender pay disparity clinton foundation",sadness
2,"lines i'd expect with
 regards education. gender disparity #shameful. #equalpay",joy
3,average annual earnings education attainment. & new digest #edstats \xe2\x80\xa6,disgust
4,disparity wages basis gender unacceptable. thanks boyd4oh_d9 kentksmith 4 fighting 4 #equalpay,sadness
5,women make half,disgust
6,gigitracyxo,joy
7,canada\xe2\x80\x99s gender pay disparity larger oecd,joy
8,independent shame takes charitable actions individuals enforce equal pay. lol it's 2017 & still gender disparity,joy
9,wikileak: email disparity gender equal pay clinton foundation.,joy
10,"standing #equalpay playing \'woman\'s card,\' deal in! \xe2\x80\x9 hillaryclinton #fltogether #wearefl",sadness
11,gender pay gap remain,joy
12,finn_fann grantwahl equal pay refers core argument there's gender disparity pay isn't explained,sadness
13,great majority #equalpay disparity based economic choice.\nyour employment decisions.\nnot,guilt
14,wage disparity gender & race hurts families & communities. time #equalpay black,disgust
15,#gender salary disparity means women namibia need 70 years achieve #equalpay,disgust
16,"girlfriend
 rattling factual data gender-wage/gender disparity data! ""he fight equal pay""",sadness
17,shocked see profession widest #gender wage disparity cmon it's 2016! #equalpay,guilt
18,#10_june 1963 equal pay act 1963 aimed abolishing wage disparity based sex (see gender pay gap). signed law,sadness
19,6/10/1963 - john f. kennedy signs equal pay act aimed abolishing wage disparity based,sadness
20,day,fear
21,it's equal-pay-day. pittsburgh it's long long road. gender wage disparity in\nthe pittsburgh region: \n,disgust
22,worth remembering equal pay day: st. louis worst gender-based pay disparity u.s.,sadness
23,solved! whitehouse potus equal pay act 1963 u.s. federal law abolishing wage disparity based sex (see gender pay,sadness
24,#nepali women\xe2\x80\x99s football team captain bats equal pay calls end gender disparity,sadness
25,mikeandmike gender equal,sadness
26,gender disparity taxes:,disgust
27,,fear
28,40 years equal pay,sadness
29,"india inc begins audits equal pay: because
 measure disparity salary levels",sadness
30,thomas sowell - gender bias income disparity: myth? #equalpay \n...why hire men women cheaper?!,sadness
31,#equalpay men color. know there's gender disparity let us forget there's race disparity wage,disgust
32,ca expands equal pay act make easier employees establish successful gender-based pay disparity claims,sadness
33,#genderequality sandra bullock wants equal pay equal treatment: despite,sadness
34,thealethiophile we've fixed equal,sadness
35,out: latest research shows wage disparity tip iceberg aus gender pay gap #equalpay,sadness
36,"japan must adopt ""equal pay f/ equal work."" regular/irregular & gender disparity",sadness
37,study reveals gender disparity pay despite similar levels,joy
38,hollywood example gender disparity pay call,joy
39,"#harper government
 fought equal pay equal work courts. #cpc solution gender wage disparity income",sadness
40,spoke junior high today & saw this. look gender income disparity! kids get it; politicians don't. #equalpay,sadness
41,"oscar goes to...""gender pay gap disparity #hollywood"" via",joy
42,new california equal pay act tighten exemptions employers gender pay disparity,sadness
43,ca controller urges governor sign legislation help eliminate gender pay disparity #equalpay,joy
44,disparity south african workplace respect equal pay goes far beyond gender. question approach,sadness
45,teampelosi re: equal rights,sadness
46,years #equalpay difference & there's still 20% disparity! britain force companies publish gender pay gap,disgust
47,"looking gender own--""equal pay equal work""--as pay ""disparity"" domestic worker ceo separate",sadness
48,#10_june 1963 equal pay act 1963 aimed abolishing wage disparity based sex (see gender pay gap). signed law,sadness
49,captainraq actually,anger
50,solly malatsi says equal pay equal work. salary disparity based,sadness
51,"pope: gender wage disparity ""is pure scandal."": pope backs equal pay women",sadness
52,nysa_majority gender disparity pay ends w/roll call passage equal pay equivalent value work a00437 legislation -,sadness
53,"whitehouse ?? ""equal pay"" law already exists. equal pay act 1963 prohibits wage disparity based gender. look",sadness
54,remember one time already law (equal pay act 1963) abolished wage disparity based,sadness
55,hillary clinton joined actor\xe2\x80\x99s call equal,sadness
56,gender disparity retirement inc means women reliant #socialsecurity.how #equalpay women,sadness
57,thank,anger
58,#oscars #theoscars #equalpay #liberallies rt thomassowell explains myth gender bias income disparity,joy
59,"naturalimani however equal pay isn't favorable
",sadness
60,gender pay gap state congressional,joy
61,gender pay gap affects disparity pension pot sizes:,joy
62,"gender pay gap shrunk #millennials theres still disparity responsibility taken account
 #equalpay",joy
63,wage disparity us terms ethnic background gender.,sadness
64,salary.lk - equal,sadness
65,women need confident asking #equalpay #denver omp lori davis gender wage disparity,sadness
66,zindagimuskraye #freedomiswhen there's equal pay equal work men women; gender disparity,sadness
67,"tuesday
 anniversary equal pay act 1963 us officially abolished gender wage gap",disgust
68,#10_june 1963 equal pay act 1963 aimed abolishing wage disparity based sex (see gender pay gap). signed law,sadness
69,today #history: june,disgust
70,today,anger
71,buddhastew topic come many times last,guilt
72,"asking #equalpay got jillabramson times
 fired. salary pension disparity sign #gender bias nyts.",joy
73,80% gender disparity city bonuses. 1971,sadness
74,"them
 'equal pay' hypocrisy - dem
 pay women employees less men yet peddle gender pay disparity! real #waronwomen",joy
75,today ontario's 1st equal pay day raise awareness gender salary disparity. women worked 04/16/12 earn $$ men,sadness
76,would president focus equal pay among gender much greater disparity race?,sadness
77,would president focus equal pay among gender much greater disparity race?,sadness
78,white house defends gender pay disparity mocking men reporters via,sadness
79,"it\'s start...""obama hits gender wage disparity #equalpay",sadness
80,obama hits gender wage disparity- signs executive order equal pay women! woohoo!,sadness
81,causes gender pay disparity: field,joy
82,equal pay day highlights gender disparity earnings,fear
83,1963-the equal pay act 1963 amends fair labor standards,sadness
84,listerineindia #fightfor equal pay equal work gender,sadness
85,male employees earn females gender? equal pay act prohibits wage disparity based,sadness
86,jfk signs 1963 equal pay,sadness
87,jewelrymakerj alisonforky without,disgust
88,coming gender neutral sport equal prize,sadness
89,equal pay day highlights gender pay disparity check cch intelliconnect page,sadness
90,steinbrueck responds gender disparity city #seattle wage,joy
91,happy 50th birthday equal pay act. wage gap still,disgust
92,equal pay act 1963 aimed abolishing wage disparity based sex (see gender pay gap). signed law june,sadness
93,"many don\'t consider factors. ""it impossible attribute disparity gender alone."" #equalpay act",disgust
94,today marks fifty years equal pay,anger
95,get roped,sadness
96,gender disparity (aka pay gap) wrong. women deserve #equalpay! need action,sadness
97,employers: equal pay day. focus \ngender-based pay disparity. business imperative goes beyond legal,sadness
98,"my
 gender disparity pay among highest us. #equalpay via",joy
99,wingnuts bring gender pay disparity white,joy
100,#republican gender gap mirrors women's pay disparity | moira herbst | \xe2\x80\xa6,joy
101,equal pay day highlights gender pay disparity: equal pay,sadness
102,equal pay icon rallies #obama. attendees unaware gender pay disparity white house. \xe2\x80\xa6 via,sadness
103,equal pay women? equal costs credit card use? great finra study gender disparity & credit:,sadness
104,gender pay gap still big | anna bird: equal pay audits could help close huge wage disparity betwe...,sadness
105,gender pay gap still big | anna bird: equal pay audits could help close huge wage disparity betwe...,sadness
106,#gender based #pay disparity graph- dare #gop say equal pay equal,sadness
107,chart explains gender disparity sector nv. continue fight ensure women denied #equalpay,disgust
108,sengillibrand pushes bill targets gender pay,joy
109,gender-based pay disparity maddow's fact friction today. read #pushback improve negotiating,sadness
110,franklin county florida : national equal pay day highlights gender pay disparity - wink news,sadness
111,today equal pay day liberals perpetuate myth gender pay disparity. \n,joy
112,equal pay act 1963 aimed abolishing wage disparity based sex (see gender pay gap). media stop bullshit,sadness
113,lobbyists fight pass laws prevent gender pay disparity believe still exists. #equalpay,sadness
114,launched new website client: equal pay law - wage disparity based,sadness
115,"rt techtrak: rt karla_porter: gender based income disparity topic wants your
 input --> has
 equal",sadness
116,"gender based income disparity topic wants your
 input because--> has
 equal pay kudos dan nuroo",sadness
117,female engineer sues,sadness
118,trans,sadness
119,#culture: iceland becomes first country world make companies prove equal pay...,sadness
120,#istrikefor reproductive,disgust
121,sarahh_68 culture really perplexing. one 1st employers give us equal pay yet feels still 'suffered',disgust
122,kita boleh masuk pasal maternity leave(paternity leave,disgust
123,iceland become first country make employers offer equal pay regardless gender -,sadness
124,#5questions: auckland water,sadness
125,equal pay would,sadness
126,carlos,anger
127,make 'equal work equal pay' laws save women lgbt people wage,sadness
128,#brogrammer culture thrives. here's #womenintech,guilt
129,ananavarro tell republican party leave #plannedparenthood,joy
130,urmort jk_rowling get equal,sadness
131,want live culture women equal pay constant state of\xe2\x80\xa6,disgust
132,nfltexanchick paid maternity,disgust
133,flycampaign it\'s equal pay it\'s work life culture: less sexual,sadness
134,like equal,sadness
135,"repbarbaralee you
 can't say equal pay without institutional proof. issue black/ women culture",sadness
136,society need place greater emphasis respecting women. equal pay. destroy rape culture. eliminate anti-lgbtq,sadness
137,money important way culture determines something's value validity; equal pay way asserting equal,sadness
138,support us equal pay. support us victim shamed . support us fighting rape,sadness
139,equal,sadness
140,"toudoumta #pub #publicit\xc3\xa9 #advertising #ad #culture equal pay day : et si trump \xc3\xa9tait une gamine de 9 answer
 ?",anger
141,"sexism ""gone"" equal pay laws... rape culture still",joy
142,pepeofkekistan 1.equal rights includes autonomy body. 2.rape culture. 3.equal pay accomplished. 4.willful,disgust
143,vesseykristine ...women still don't always get equal pay. women receive rape & death threats culture begun normalizing,disgust
144,"culture needs change - stop viewing flexibility disinterest. wonder applied jobs difference
 fields #equalpay",guilt
145,could help ease gender pay gap? flextime,disgust
146,overlord_londin equal pay; reproductive rights; many intangibles come culture,sadness
147,it\'s cool add,disgust
148,audi good. guess equal pay act provides working company,disgust
149,"anotherdrbob take look culture women don't get equal pay treated like sexual objects and
 judged",sadness
150,negativenub know you\xe2\x80\x99re,sadness
151,godaddy\xe2\x80\x99s ceo thinks,disgust
152,vielspiel 4/4 don't think 50% women could make voice stronger equal,sadness
153,"kamalaharris lumping equal pay ""economy"" then? rape",sadness
154,"lil_honeycomb brother
 meant equal",sadness
155,christhefriend pro-life women couldn't protest equal pay rape,joy
156,kidding me? protest rape,joy
157,\xe0\xa4\xaa\xe0\xa4\xa6\xe0\xa5\x8d\xe0\xa4\xae\xe0\xa4\xbe\xe0\xa4\xb5\xe0\xa4\xa4\xe0\xa5\x80' \xe0\xa4\x95\xe0\xa5\x87 \xe0\xa4\xb8\xe0\xa5\x87\xe0\xa4\x9f \xe0\xa4\xaa\xe0\xa4\xb0,sadness
