,Tweet_text,emotion
0,stan claims never said stuff #wife. #tokerware #seagull #design #equalpay #foodporn #marriage,disgust
1,josephmuscat_jm eu equality all: ms needs open equal,disgust
2,"you
 don't want equal pay",sadness
3,"dreamers stand behind you\nto trans citizens stand behind you\nmarriage equality\nequal pay\nwe stand with
 potus44",sadness
4,manbag5 else deem,sadness
5,vp giving,sadness
6,jordanuhl hillaryclinton vou pence fight planned parenthood equal pay equal jobs marriage equality row vs,disgust
7,don't get equal pay then? can't women saudi arabia drive ? child marriage still thing ?,sadness
8,y'all got amount,sadness
9,"lmun preaches favor
 women;\nno domestic violence\nquality education\nno child marriage \nequal pay equal work",disgust
10,paulduff_ men haven't fight,sadness
11,#realdonaldtrump #women'sday honor women supporting pph/equal pay/prochoice/no pussygrabbing/marriage equality/real health,joy
12,#womensday2017 still relevant? fgm? forced marriage? rape instrument war? equal pay? everyday sexism? education,disgust
13,set rights women issues,joy
14,cctakato church supports traditional marriage also supported equal,disgust
15,like you're gonna campaign something campaign child marriage equal pay something,disgust
16,"kellyhoppen sadiqkhan concerns you
",guilt
17,t0kyodrift focus important things like equal,disgust
18,saraheholl issue? need changed badly? much bigger issues:equal,sadness
19,breakfastnews women presenters celebrates right,guilt
20,igorvolsky theadvocatemag,sadness
21,gottalaff group opposes equal,sadness
22,jamesdoss50 planned parenthood equal pay sex marriage anti discrimination religion race --stop lynching people,sadness
23,realecz realdennislynch marriage equality. equal pay act. obamacare. record low unemployment. economic recovery. things hate?,sadness
24,less than\n100yr women vote\n70 segregation\n60 interracial marriage\n50 equal pay \n30 gun/drug free school\n10 black president\n5 gay,sadness
25,ellahbie scottcmason13 repjohnlewis petebuttigieg \nwomen's rights \nmarriage equality\nequal pay\ncivil rights \ngun control,joy
26,chasepointer74 sdsunchaser ralphmurphy15 mystiwoman chrismurphyct obama gave us gay marriage equal pay,disgust
27,chasepointer74 sdsunchaser ralphmurphy15 mystiwoman chrismurphyct gay marriage happen? equal pay women? oh,disgust
28,"tedfriel41 33% gay?how pence bad them? ""bad"" women?so many questions.marriage issue settled. equal pay",sadness
29,"jimturn30433019 a_picazo like gay marriage ""special",fear
30,andrewscheer stand same-sex,disgust
31,hackettterence milosparrots pshermhawkeye7 nra_4_freedom said thing,disgust
32,"pamva65 dem
 saved economy",sadness
33,andrewscheer what's stand sex,sadness
34,darron1908 __ironically equal pay. marriage equality. civil rights. access quality affordable healthcare. quality affordable,sadness
35,despair climate,guilt
36,cory bernardi says new party 'will give hope despair' politics,guilt
37,michaleksherry joydina7 thebestcloser believe equal rights every citizen gay,sadness
38,"shaunking insane. that's
",sadness
39,"westleygarcia ""equal pay marriage right",sadness
40,billshortenmp theage\nwhen comes 2 marriage,disgust
41,citizen_usa1 democrats want gay,joy
42,shorten: labor won't take backwards step constitutional,sadness
43,wombleninja worked getting,joy
44,"chrishiggs restricting women
 health",sadness
45,maybe write mp bob,anger
46,need ban guns sales don't pass trump's extreme vetting oppose marriage equality equal pay,sadness
47,visualize:\npeace\nmarriage equality\nhealthcare,sadness
48,stewart4pboro says man opposed gay marriage voted equal pay men,sadness
49,believe equal pay women doesn't mean 4,sadness
50,"tuckercarlson: ""it really seems like women\'s",disgust
51,flugennock justicedems raniakhalek new,anger
52,paddywords produced,disgust
53,maryannmag let's go it. concerns equal pay- one didn't know women wasn't paid,sadness
54,laurawilder497 gay marriage? agree. abortion? agree (im little upset,sadness
55,rexheraclius marched,guilt
56,techmattjrthe right gay,fear
57,clipsluv pjsinatra_ totally like civil,sadness
58,lavrys voting,sadness
59,realdonaldtrump needs 2 state support 4,sadness
60,ebitch69 idk maybe equal rights? equal,sadness
61,i'm genuinely confused what's wrong equal pay amongst gender roles? sex marriage? civil,sadness
62,nkh_34 trump's rhetoric threatens gay,joy
63,joniernst respecting,anger
64,,sadness
65,foxnews alvedacking diverse message delibrate-repro,guilt
66,lavrys gay,fear
67,thomas_adams_1 obamas white house didn't even follow equal pay,sadness
68,don't care want equal,sadness
69,"realdonaldtrump you
 agree with? civil liberties? equal rights? equal pay? equal access marriage? government
 woman's",sadness
70,said yesterday: human,anger
71,cajunmonkey439 garywhitta i\xe2\x80\x99m,guilt
72,starkvilledaily gotta love,anger
73,women still fight for:,disgust
74,lorihall82lori kenwarnock usaredorchestra answer:yes.,sadness
75,womensmarch bad aren't marching 4 cause. already equal,sadness
76,don't feel,sadness
77,anna_tarter gay marriage,joy
78,#whyimarch equal protection,sadness
79,yeah hilarious new president wants take away right,sadness
80,nan_bobbitt funding planned,disgust
81,ain't even abortion equal,sadness
82,joined #womensmarchonaustin stand women's reproductive,sadness
83,"feminist
 condemns child",joy
84,uniblonder2112 nadimnaaman top,sadness
85,julessunbeam health,sadness
86,,disgust
87,bbcmerseyside protesting female genital mutilation? forced marriage? equal,sadness
88,day 1: march equality. stand everyone's right equal,sadness
89,civil,sadness
90,#marchoncolorado 2017 women deserve choice,sadness
91,rights? donald? marriage equality? equal,sadness
92,harieysbarnes don't care equal,sadness
93,marriage,disgust
94,detroitnews marching gay rights? sex marriage,sadness
95,"provided aca & saved many lives. you
 ended bin",disgust
96,armastrangelo preventative,joy
97,education difference thinking it's important gun someone equal pay marriage,disgust
98,"haro query ok? buzzfeed seeking $ proof marriage ""bad deal"" men #sexist upcoming piece v. fighting equal pay.",sadness
99,"alydio reallucasneff ""i\'m republican support gay",fear
100,reallucasneff well that's far stretch. i'm republican support gay,fear
101,lopsided majorities favor same-sex,sadness
102,feminism??? lol don't need feminism. already equal rights like equal pay & marriage equality. male privilege??? what's,sadness
103,"failure - bunch things righties hate. gay marriage aca women's rights equal pay women - yes house horrors you
",sadness
104,"birdistheherd theview vp joebiden you
",sadness
105,one radical shift: equal pay men women. also rethink marriage structures mean. #aloo2017#,sadness
106,stop violence,disgust
107,dem-ca kamalaharris asking future cia dir. #mikepompeo climate,joy
108,"kamalaharris times
",guilt
109,"kamalaharris you
 understand interviewing person top spy master? equal",sadness
110,"jonathanchait joanwalsh wrong. anti anything. professional
 equal",sadness
111,kamalaharris due,guilt
112,ask nominee head cia [a spy agency] climate,joy
113,current cia director understands it's critical next director,joy
114,kamalaharris wondering gay,fear
115,"dem
 know? kamalaharris asking ridiculous questions guy marriage equal pay climate change spy agency.",joy
116,perhaps kamalaharris ask cia dir pertinent questions? instead asks about; gay,joy
117,climate change direct threat democracy. need someone understands impact climate change global instability.,joy
118,kamalaharris asks #trump's \xef\xb8\x8f\xef\xb8\x8f\xef\xb8\x8f pick #confirmationhearings gay,joy
119,"kamalaharris showed naivety\ cia director confirmation\nhearing mike pompeo. asked about
 gay",joy
120,shenebraskan kamala spent time talking new cia boss gay marriage equal pay. sure knows she's,sadness
121,kamalaharris mind ask nominated cia director gay,joy
122,climate change direct threat democracy. need someone understands impact climate change global instability.,joy
123,"sitting them
 senator actually ask future head cia climate",joy
124,kamalaharris really? asked cia director nominee climate,joy
125,kamalaharris spent time asking cia director nominee gay,disgust
126,i'm pretty sure focusing bad got us civil,sadness
127,cynthiaerivo focusing what's good country,disgust
128,\xe2\x80\x9cwe\xe2\x80\x99re supposed allies equal,sadness
129,baileyrsa hmmm...same sex marriage; equal pay bill; obama care?,sadness
130,wish wasn't truefrom affordable health care equal pay & marriage equality beyond potus done much,disgust
131,"#obamafarewell \nequal pay! jobs! marriage equality! aca! eco
 recovery! \nso #yeswecan work hard keep moving forward show",disgust
132,lionorder12 don't buy obama passed healthcare championed minimum wage,sadness
133,"times
 thought march equal",sadness
134,"times
 equal pay.",sadness
135,stick_man_says,anger
136,gay,fear
137,usapatriotsc freddzalot cookiesncream32 believe climate,joy
138,mikegoodings frostnhstaterep georgetakei marriage equality guaranteed safe reversal? equal pay equal,sadness
139,bannerite mcconnellpress samanthaclarkh elected potus w/mandate.,fear
140,ccaddell24 jimmysmagula realdonaldtrump serious? reps want,sadness
141,"2beachgirls womensmarch\ni problem with
 gay marriage equal pay it's earned. find new world order oppressive",sadness
142,"indyk46220 womensmarch republican platform spells opposition marriage equality/ equal pay women. you
 don't find",sadness
143,pdxgreg bluescrubjay josh00232 regressive? right legalizing gay marriage regressive. equal pay women regressive,joy
144,historic job growth. 58% cut oil imports. paris climate accord. marriage equality. troops came home. equal pay women act.,disgust
145,potus thank,fear
146,forced,disgust
147,doggywoggydooda trobinsonnewera women don't get equal pay u.k .we're quite good treating women like second class citizens,sadness
148,"super
 court legalizing gay",fear
149,therealwombat1 shewhovotes that's,sadness
150,fight equal,sadness
151,realdonaldtrump that's core message rep. demand live way say.,sadness
152,mick,joy
153,never knew lesbians wanted farmers! next they\'ll want marriage,disgust
154,rush limbaugh nervous 'lesbian farmers' invade rural south:,sadness
155,"millisbrent oops
 bad lol.",guilt
156,wrobstv john76854642 deserved it? why? supports gay marriage equal pay etc etc. support,sadness
157,4real_p0litik allleftnews health care? took osama bin,disgust
158,"cnnpolitics yes!!!! you
 make gay",disgust
159,"keep going ""o""! respect oil",sadness
160,popcornreel marriage,disgust
161,"sheldonliberman because
 things like",sadness
162,bakkster banning gay marriage. equal pay equal work.,sadness
163,deusexjuice freeyourmindkid mean status quote protecting civil rights? marriage equality? getting equal pay,sadness
164,charlescampbell doncheadle slate every initiative aca equal pay,sadness
165,stan claims never said stuff #wife. #tokerware #seagull #design #equalpay #foodporn #marriage,disgust
166,"petebuttigieg thedemocrats talk marriage equality equal pay? disqualified them
 65m",sadness
167,jjpalethorpe lol yes forgot nowhere west fight equal pay health access marriage,sadness
168,realitytc like gay marriage equal pay pay equity general...that reason red states hate changing,sadness
169,support marriage equality equal pay,fear
170,siobhanfenton nuttall opposed same-sex marriage & equal pay transparency. hardly surprising opposed it. utter,sadness
171,lcagepm progressive ideas women's right,sadness
172,sims marriage,disgust
173,reaganbattalion jolietjake420 1. gay marriage/marriage equality. 2. equal pay,sadness
174,"national issue #equalpay article. my
 early",joy
175,ex: ending,joy
176,"find conservatism interesting history shows progressives
 always wins. one deny that. always move",disgust
177,housing,disgust
178,"volatileamine cavsfanaholic 150+ years ago! dem
 learned unlike gop. supports",joy
179,poverotti jonbernhardt austin's already record marriage,disgust
180,"patricklaugh & itsfunnybob literally legalized homosexual
 marriage & established equal pay equal gays don
 im educate",sadness
181,i'll tell,disgust
182,vast majority country,disgust
183,sshankara tavleen_singh didn't say always. world,disgust
184,things rep. tom price voted (part 1):\n-equal pay legislation\n-same-sex marriage\n\n \xe2\x80\xa6 via,sadness
185,reverse gay,joy
186,bohemianmoon jimmy carter last real liberal,joy
187,joesanders33 braddjaffy dailysignal wants change press,guilt
188,"p0tus frankluntz atlantic
 low gas",sadness
189,new ag jeff sessions voted bills prevent hate crimes ensure equal pay voted ban gay marriage.,joy
190,"jana_bricker professional
 row v.",sadness
191,jblong people said gay marriage frivolity? equal pay? black men getting shot reason,disgust
192,fanny57 ezraklein taking corporations gets us marriage,disgust
193,,joy
194,kyleclauss berniesanders taking corporations doesn't get equal,sadness
195,bowiofgames rt believe marriage,disgust
196,step toward right,sadness
197,rnc insiders meet coalitions hoping inclusive administration:\n,sadness
198,realdonaldtrump nbcsnl equal time who? we? women would like equal pay! lgbt would like equal rights marriage.,sadness
199,"trump okay
 with:gay",sadness
200,party future. heheh,joy
201,stan claims never said stuff #wife. #tokerware #seagull #design #equalpay #foodporn #marriage,disgust
202,liberals evil believe,sadness
203,"michelleh_burk hrc would protect women
",sadness
204,"pretty sure dem
 fought marriage",disgust
205,"cbsnews dem
 fighting bannon. fight something positive?! against.",sadness
206,group voted marriage,disgust
207,joyfultypist believe climate change? equal pay? sex marriage? issues stake managing footie,sadness
208,retweeted kal penn kalpenn):\n\nmarriage equality. equal pay. health care. veterans benefits. fair wage. climate...,sadness
209,geoff9cow,sadness
210,"jcochranesq lies them
 platform & legislation demanded rights minorities: gay",sadness
211,3. that's women fight #equalpay; #lbgtq push sex marriage laws; sex trafficking & domestic violence organisations growing;,sadness
212,joshua_sung mrdane1982 tybeechu 4 reversal roe v,anger
213,ddw418 dsigningwmn believe woman's right,disgust
214,zenbuddi eddiern 31 family members? wow hope entitled equal pay marriage,disgust
215,jnlevine miltshook didn't. link gay marriage law women equal pay law...,sadness
216,protect:\ncollege affordability\nclean energy & steam projects\nmarriage equality/equal pay/equality,sadness
217,help protect 3 things president trump could cut \xe2\x80\xa6 via,guilt
218,dear,joy
219,iofiv social reforms think majority uk population ahead government - gay,disgust
220,protect stuff: part ii\nmarriage,sadness
221,bravenewwoman54 4),anger
222,jesssicaa_xo they're almost gay marriage equal,disgust
223,adam4004 i'm talking,fear
224,jimmcfierceson usual.,joy
225,gone:\n\nafa\nscotus\nmarriage equality\ndaca\ndreamers\nroe vs wade\nminimum wage increase\nequal pay\naffordable college\nclimate\,sadness
226,tbrannoc1453 healthcare reform,disgust
227,mbsalati bo1dallas 1) bitched&moaned 8 years. 2) obama didn't take anyone's basic human rights away.,sadness
228,i'm sorry women need contraception abortions equal pay i'm sorry lgbt marriage open service,disgust
229,support right choose woman,fear
230,james__raymon also interested voting rights. women's right choose equal,sadness
231,protectthepope small part it's progressive social changes equal,sadness
232,lumber_jack3d women lose rights & progress: right,sadness
233,jimmyspolitics look end gay,fear
234,ryben3 emerantura it's media. women lose rights:,sadness
235,,sadness
236,equal pay invented (and untrue) issue. gay marriage state issue. abortion supreme court,sadness
237,kitkatjunior mrrepzion civil rights movement equal marriage rights equal pay equal,sadness
238,armscontrolwonk i'm that. marriage,fear
239,-marriage equality\n-equal pay races & genders\n-abortion rights\n-freedom press\n-freedom religion \n\nall,sadness
240,here's grieve today \n\nclimate change destroy planet\n\nno equal pay\n\na repeal gay marriage \n\ndefunded planned,disgust
241,"preselect trump rolling back press
 obama's efforts. equal pay 4",sadness
242,it's clear type leader trump,sadness
243,rep - equal,sadness
244,aaronw121 literally called republicans,sadness
245,samg2125 that. efforts equal,sadness
246,7/ women's right choose 8/ healthcare 9/equal pay 10/paid parental leave 11/marriage equality,sadness
247,"#themorningafter\nthe losers election:\n1/$15 minute
 wage\n2/college",sadness
248,vp actively supported conversion,fear
249,reach people? ones see equal,guilt
250,shadowtodd,guilt
251,rabois karaswisher conservative views think,sadness
252,mdbraendel man potentially deny rights,disgust
253,nka1105 hillary talked stuff base wanted. taxing,sadness
254,think it's progressive equal,sadness
255,ohthatsjody sethmacfarlane raising minimum,sadness
256,negotiations? rs control branches & undo progress..equal,sadness
257,trump try reverse marriage equality? he's negotiator. it's current deal so? cheyannecouv dayjojo771980,joy
258,gay marriage still 5-4\npro-choice still 5-4\nhigher mw never \nequal pay still myth\nobamacare filibusters,disgust
