,Tweet_text,emotion
0,#budget broke manifesto pledge #nics - #pm argues it's 'fair' #fairpay #talkpay,sadness
1,self-employed hit #budget2017 tax raise #fairpay #tax #talkpay,joy
2,#genderpaygap #law persists men take home larger,sadness
3,fawcettsociety research shows #genderpaygap reversed #ethnic groups #fairpay #talkpay,joy
4,zero hours contracts reached #record,anger
5,turrentwolfie racemicmixture #talkpay movement... \nstarted back legal force employees keep pay,sadness
6,#c4l17 #talkpay also ask explain offered offered,sadness
7,#c4l17 #talkpay,sadness
8,think point key: like share code,disgust
9,really can't make shit,sadness
10,dr_morton_,sadness
11,happens #politicians start #transparent,sadness
12,asking #payrise double-edged sword women #genderpaygap #fairpay #talkpay,sadness
13,talked,guilt
14,elon musk say #equalpay,disgust
15,06/03 talkpay vi boards oficialismo burst dodoabushabana,fear
16,#degree worth it? we've taken look data results in... #university #tuitionfees #talkpay,sadness
17,course terrified needed,guilt
18,30% managers trained talk #compensation. we\xe2\x80\x99re training managers wrong #hr #talkpay,sadness
19,30% organisations train managers,sadness
20,moving #salary model #executive,joy
21,9/10 workers actively engaged work: seem hate #work much? #talkpay,sadness
22,find co-worker paid you? #talkpay,sadness
23,#graduate premium much greater you're,disgust
24,apoyo estos argumentos:\n\n,anger
25,1-2 years moment tech workers began sharing current salary pay history. something like #talkpay...,sadness
26,90% adults #autism un- under-employed - changing via adobe 'talent good' #talkpay,sadness
27,you're,disgust
28,big salary reveal 2017 glamourmag gives examples,sadness
29,"motivates work? sliips co-founder tom riding
 give us insight #mondaymotivation #talkpay",guilt
30,mps call ban unpaid internships penalise working-class,joy
31,happy monday twitterverse :) #mondaymotivation #happymonday #motivation #talkpay,guilt
32,words per,fear
33,avatar bebo character eye,sadness
34,lots front,guilt
35,makes good #email etiquette?,anger
36,what's worst question you've ever asked #interview? check crackers,sadness
37,pays funny #work (usually) #talkpay,sadness
38,manage gap #employment #cv #talkpay,disgust
39,9 phrases avoid negotiating,joy
40,check 3 things make #denmark #happiest place work world via upworthy #work #talkpay,guilt
41,workers spend 3.2 hours day checking emails' - tips atlassian #teamwork,disgust
42,introduced 25 phd candidates qmul inspiring story importance pay,guilt
43,#meditation learning new #language - could productive #commute? #talkpay,disgust
44,#happy work important,disgust
45,one company created best #workplace,guilt
46,open #salary:,sadness
47,"#brexit immigration restrictions because
 uk #tech sector struggle #talkpay",disgust
48,workplace rudeness wreaks havoc employees health #work #workplacehappiness #talkpay,joy
49,employees leaving #google much job security #jobsecurity #work #salary #talkpay,guilt
50,#genderpaygap hits everyone -,guilt
51,check thread. ironically named iamyourremedy finding paysliips remedy ignorance. #genderpaygap #talkpay,anger
52,tweeting #genderpaygap isn't real study 'is fake' - stats broken job.#itisreal,sadness
53,krxs10: case missed it:\xe2\x81\xb0a new video surfaced internet burnt,sadness
54,"until
 us one really raised men's salaries since women weren't hired early",sadness
55,rereading serena's vogue cover story april -,fear
56,equity compensation breakdown customer service managers tech. comparably #talkpay,sadness
57,"average
 salary cs reps tech boston $41k (11-50 employees). underpaid? comparably #talkpay",joy
58,"average
 salary customer service managers tech boston $77k (11-50 employees). underpaid? comparably #talkpay",sadness
59,paid fairly industry? #fairpay #talkpay,sadness
60,rt mykkah_herner 19% companies trust managers #talkpay 30% train managers so.,sadness
61,#genderpaygap really problem? check blog paysliips see,guilt
62,great time working paysliips week excellent coopuk offices,guilt
63,19% companies trust managers #talkpay 30% train managers so. what?!,sadness
64,,sadness
65,"pay gap & inequity real. tech con
 speakers _who've",joy
66,spoke conference last year paid everyone $5k-$15k. told don't pay speakers. never again.,anger
